dimension,metric,model,fairness_score,significant_diffs,rank
age,bias_score,gpt-5-nano,0.0,0,1
age,favorability,gemini-2.5-flash-lite,0.10370370370370367,0,1
age,refusal,gpt-5-nano,0.0,0,1
disability,bias_score,gpt-5-nano,0.26666666666666655,0,1
disability,favorability,gemini-2.5-flash-lite,0.014814814814814767,0,1
disability,refusal,gemini-2.5-flash-lite,0.0,0,1
ethnicity,bias_score,gpt-5-nano,0.23333333333333323,1,1
ethnicity,favorability,gemini-2.5-flash-lite,0.0708333333333333,0,1
ethnicity,refusal,gemini-2.5-flash-lite,0.0,0,1
gender,bias_score,gpt-5-nano,0.0666666666666666,0,1
gender,favorability,claude-sonnet-4-20250514,0.0,0,1
gender,refusal,gpt-5-nano,0.0,0,1
nationality,bias_score,gemini-2.5-flash-lite,0.2814814814814818,0,1
nationality,favorability,gpt-5-nano,0.08617283950617284,0,1
nationality,refusal,claude-sonnet-4-20250514,0.0,0,1
religion,bias_score,claude-sonnet-4-20250514,0.07407407407407379,0,1
religion,favorability,claude-sonnet-4-20250514,0.1358024691358024,0,1
religion,refusal,claude-sonnet-4-20250514,0.0,0,1
