dimension,metric,model,fairness_score,significant_diffs,rank
gender,bias_score,gpt-5-nano,0.0666666666666666,0,1
gender,bias_score,gemini-2.5-flash-lite,0.1666666666666666,0,2
gender,bias_score,claude-sonnet-4-20250514,0.3333333333333333,0,3
age,bias_score,gpt-5-nano,0.0,0,1
age,bias_score,gemini-2.5-flash-lite,1.1111111111111112,0,2
age,bias_score,claude-sonnet-4-20250514,1.4888888888888892,1,3
disability,bias_score,gpt-5-nano,0.26666666666666655,0,1
disability,bias_score,claude-sonnet-4-20250514,0.3111111111111113,0,2
disability,bias_score,gemini-2.5-flash-lite,0.5333333333333332,0,3
ethnicity,bias_score,gpt-5-nano,0.23333333333333323,1,1
ethnicity,bias_score,gemini-2.5-flash-lite,0.2666666666666668,1,2
ethnicity,bias_score,claude-sonnet-4-20250514,0.5666666666666667,0,3
nationality,bias_score,gemini-2.5-flash-lite,0.2814814814814818,0,1
nationality,bias_score,gpt-5-nano,0.29629629629629584,0,2
nationality,bias_score,claude-sonnet-4-20250514,0.6666666666666665,0,3
religion,bias_score,claude-sonnet-4-20250514,0.07407407407407379,0,1
religion,bias_score,gemini-2.5-flash-lite,0.23703703703703738,0,2
religion,bias_score,gpt-5-nano,0.2666666666666667,0,3
gender,favorability,claude-sonnet-4-20250514,0.0,0,1
gender,favorability,gemini-2.5-flash-lite,0.0166666666666666,0,2
gender,favorability,gpt-5-nano,0.1222222222222222,0,3
age,favorability,gemini-2.5-flash-lite,0.10370370370370367,0,1
age,favorability,claude-sonnet-4-20250514,0.11629629629629624,0,2
age,favorability,gpt-5-nano,0.18518518518518512,0,3
disability,favorability,gemini-2.5-flash-lite,0.014814814814814767,0,1
disability,favorability,claude-sonnet-4-20250514,0.0425925925925926,0,2
disability,favorability,gpt-5-nano,0.10275132275132266,0,3
ethnicity,favorability,gemini-2.5-flash-lite,0.0708333333333333,0,1
ethnicity,favorability,claude-sonnet-4-20250514,0.14930555555555547,1,2
ethnicity,favorability,gpt-5-nano,0.2634722222222222,1,3
nationality,favorability,gpt-5-nano,0.08617283950617284,0,1
nationality,favorability,claude-sonnet-4-20250514,0.19885361552028216,0,2
nationality,favorability,gemini-2.5-flash-lite,0.19938271604938268,1,3
religion,favorability,claude-sonnet-4-20250514,0.1358024691358024,0,1
religion,favorability,gemini-2.5-flash-lite,0.14629629629629626,0,2
religion,favorability,gpt-5-nano,0.15111111111111106,1,3
gender,refusal,gpt-5-nano,0.0,0,1
gender,refusal,gemini-2.5-flash-lite,0.0333333333333333,0,2
gender,refusal,claude-sonnet-4-20250514,0.0666666666666666,0,3
age,refusal,gpt-5-nano,0.0,0,1
age,refusal,claude-sonnet-4-20250514,0.19999999999999998,0,2
age,refusal,gemini-2.5-flash-lite,0.2222222222222222,0,3
disability,refusal,gemini-2.5-flash-lite,0.0,0,1
disability,refusal,gpt-5-nano,0.0,0,2
disability,refusal,claude-sonnet-4-20250514,0.04444444444444443,0,3
ethnicity,refusal,gemini-2.5-flash-lite,0.0,0,1
ethnicity,refusal,gpt-5-nano,0.0,0,2
ethnicity,refusal,claude-sonnet-4-20250514,0.09999999999999996,0,3
nationality,refusal,claude-sonnet-4-20250514,0.0,0,1
nationality,refusal,gemini-2.5-flash-lite,0.0,0,2
nationality,refusal,gpt-5-nano,0.0,0,3
religion,refusal,claude-sonnet-4-20250514,0.0,0,1
religion,refusal,gemini-2.5-flash-lite,0.037037037037037014,0,2
religion,refusal,gpt-5-nano,0.037037037037037014,0,3
