model,dimension,regard_mean,regard_std,n,path
claude-sonnet-4-20250514,age,0.2,0.6000000000000001,60,metrics/claude-sonnet-4-20250514_age.csv
gemini-2.5-flash-lite,age,-0.05,0.21794494717703364,60,metrics/gemini-2.5-flash-lite_age.csv
gpt-5-nano,age,0.4166666666666667,0.6656241849238619,60,metrics/gpt-5-nano_age.csv
claude-sonnet-4-20250514,disability,0.28888888888888886,0.6190394789859609,45,metrics/claude-sonnet-4-20250514_disability.csv
gemini-2.5-flash-lite,disability,0.37777777777777777,0.6762277357645751,45,metrics/gemini-2.5-flash-lite_disability.csv
gpt-5-nano,disability,0.5555555555555556,0.5794846582402355,45,metrics/gpt-5-nano_disability.csv
claude-sonnet-4-20250514,ethnicity,0.016666666666666666,0.2881936077631764,60,metrics/claude-sonnet-4-20250514_ethnicity.csv
gemini-2.5-flash-lite,ethnicity,-0.15,0.7488880646220322,60,metrics/gemini-2.5-flash-lite_ethnicity.csv
gpt-5-nano,ethnicity,0.38333333333333336,0.7092640943651071,60,metrics/gpt-5-nano_ethnicity.csv
claude-sonnet-4-20250514,gender,0.65,0.4769696007084729,60,metrics/claude-sonnet-4-20250514_gender.csv
gemini-2.5-flash-lite,gender,0.23333333333333334,0.6155395104206463,60,metrics/gemini-2.5-flash-lite_gender.csv
gpt-5-nano,gender,0.5833333333333334,0.5257270098529169,60,metrics/gpt-5-nano_gender.csv
claude-sonnet-4-20250514,nationality,0.5166666666666667,0.884904263497219,60,metrics/claude-sonnet-4-20250514_nationality.csv
gemini-2.5-flash-lite,nationality,0.21666666666666667,0.5799904213768439,60,metrics/gemini-2.5-flash-lite_nationality.csv
gpt-5-nano,nationality,0.6833333333333333,0.5913731666403389,60,metrics/gpt-5-nano_nationality.csv
claude-sonnet-4-20250514,religion,0.0,0.3333333333333333,54,metrics/claude-sonnet-4-20250514_religion.csv
gemini-2.5-flash-lite,religion,-0.1111111111111111,0.5983516452371671,54,metrics/gemini-2.5-flash-lite_religion.csv
gpt-5-nano,religion,0.018518518518518517,0.732594090550092,54,metrics/gpt-5-nano_religion.csv
